loan_id,final_decision,reasons_for_decision,entered_date,missing_loan_payment,lender_return
43668868118,No Sale Lenders,DTI is High Risk at 42%,1/1/2020,0.0,False
42668870151,No Sale Lenders,"Lender-Debt-to-Income Ratio is 64%, which exceeds the threshold of 60%",1/1/2020,0.0,False
41668841066,No Sale Lenders,Found lender return on 13-Nov-2019	,1/1/2020,0.0,True
63668826191,No Sale Lenders,lender return of WEB INITIATED PAYMENT AT ACIMA 8 WEB on 17-Dec-2019,1/1/2020,0.0,True
21668869190,No Sale Lenders, missing loan payment of ADVANCE AMERICA LOAN TRANS PPD ID: 0203750667 on 18-Nov-2019	,1/1/2020,1.0,False
64668878320,No Sale Lenders,"The balance on payday is still higher than the threshold with the missing loan payment
DTI is High Risk at 43%",1/1/2020,1.0,False
83668806194,No Sale Lenders,"Lender-Debt-to-Income Ratio is 63%, which exceeds the threshold of 60%",1/1/2020,0.0,False
58668868856,No Sale Lenders,Lender return on 24th DEC 2019,1/1/2020,0.0,True
77668853155,No Sale Lenders,"The balance on payday is still higher than the threshold with the missing loan payment. DTI is High Risk at 52%. And Lod Loans Still Not Cleared.
",1/1/2020,1.0,False
75668873396,No Sale Lenders,OVERDRAFT FEE FOR A TRANSACTION POSTED ON 10/18 $254.99 VBS Amplify.,1/1/2020,0.0,False
79668891642,No Sale Lenders,Missing loan payment causes the Ending balance on Payday to fall below the threshold DTI is High Risk at 55%,1/1/2020,1.0,False
82668886884,No Sale Lenders,"The balance on payday is still higher than the threshold with the missing loan payment
Lender-Debt-to-Income Ratio is 163%, which exceeds the threshold of 60%",1/1/2020,1.0,False
73668881459,No Sale Lenders,"Lender-Debt-to-Income Ratio is 66%, which exceeds the threshold of 60%
",1/1/2020,0.0,False
66668892376,No Sale Lenders,There is lender return as on 12-Dec-2019.,1/1/2020,0.0,True
11668893823,No Sale Lenders,13-Dec-2019 Loan Payment Speedy #94 DES:PAYMENT ID:349975($215.00),1/1/2020,0.0,False
75668843291,No Sale Lenders,"Lender-Debt-to-Income Ratio is 148%, which exceeds the threshold of 60%",1/1/2020,0.0,False
27668857460,No Sale Lenders,"Missing loan payment causes the Ending balance on Payday to fall below the threshold, DTI is High Risk at 42%
",1/1/2020,1.0,False
50668893792,No Sale Lenders,Missing loan payment from  VBS MitigCapital DES:8448686831 on 12th NOV 2019 of $850,1/1/2020,1.0,False
38668543749,No Sale Lenders,"Missing loan payment causes the Ending balance on Payday to fall below the threshold
Lender-Debt-to-Income Ratio is 76%, which exceeds the threshold of 60%",1/1/2020,1.0,False
41668890560,No Sale Lenders,DTI is High Risk at 46%,1/1/2020,0.0,False
91668871726,No Sale Lenders,getting Income from two source but already have Four recent Loan.,1/1/2020,0.0,False
46668872843,No Sale Lenders,"The balance on payday is still higher than the threshold with the missing loan payment, DTI is High Risk at 48%
",1/1/2020,1.0,False
87668896023,No Sale Lenders,"The balance on payday is still higher than the threshold with the missing loan payment
Lender-Debt-to-Income Ratio is 121%, which exceeds the threshold of 60%",1/1/2020,1.0,False
30668795127,No Sale Lenders,"Lender-Debt-to-Income Ratio is 74%, which exceeds the threshold of 60%",1/1/2020,0.0,False
48668890891,No Sale Lenders,"Lender-Debt-to-Income Ratio is 69%, which exceeds the threshold of 60%",1/1/2020,0.0,False
14668885457,No Sale Lenders,"Missing loan payment causes the Ending balance on Payday to fall below the threshold. DTI is High Risk at 41%
",1/1/2020,1.0,False
31668899729,No Sale Lenders,OVERDRAFT FEE FOR A TRANSACTION POSTED ON 12/27 $150.00 UNCLE WAR BUCKS,1/1/2020,0.0,False
96668901364,No Sale Lenders,There is an OVERDRAFT FEE against loan on 5th DEC 2019,1/1/2020,0.0,False
69668539589,No Sale Lenders,lender return on 22-Nov-2019	,1/1/2020,0.0,True
